"cc_iso3c","cc_name_long","cc_name_short","un_m49","unicode_flag","cc_status","cc_ascii","cc_grep"
"KWT","Kuwait","Kuwait",414,"🇰🇼","UN member","Kuwait","kuwait"
"LAO","Lao People’s Democratic Republic","Laos",418,"🇱🇦","UN member","Laos","laos"
"LBN","Lebanon","Lebanon",422,"🇱🇧","UN member","Lebanon","lebanon"
"LBR","Liberia","Liberia",430,"🇱🇷","UN member","Liberia","liberia"
"LBY","Libya","Libya",434,"🇱🇾","UN member","Libya","libya"
"LCA","Saint Lucia","St. Lucia",662,"🇱🇨","UN member","St. Lucia","st lucia"
"LIE","Liechtenstein","Liechtenstein",438,"🇱🇮","UN member","Liechtenstein","liechtenstein"
"LKA","Sri Lanka","Sri Lanka",144,"🇱🇰","UN member","Sri Lanka","sri lanka"
"LSO","Lesotho","Lesotho",426,"🇱🇸","UN member","Lesotho","lesotho"
"LTU","Lithuania","Lithuania",440,"🇱🇹","UN member","Lithuania","lithuania"
"LUX","Luxembourg","Luxembourg",442,"🇱🇺","UN member","Luxembourg","luxembourg"
"LVA","Latvia","Latvia",428,"🇱🇻","UN member","Latvia","latvia"
"MAC","Macao SAR China","Macau",446,"🇲🇴","Other ISO 3166-1 assigned or reserved entity","Macau","macau"
"MAF","Saint Martin (France)","Saint Martin (France)",663,"🇲🇫","Other ISO 3166-1 assigned or reserved entity","Saint Martin (France)","saint martin"
"MAR","Morocco","Morocco",504,"🇲🇦","UN member","Morocco","morocco"
"MCO","Monaco","Monaco",492,"🇲🇨","UN member","Monaco","monaco"
"MDA","Republic of Moldova","Moldova",498,"🇲🇩","UN member","Moldova","moldova"
"MDG","Madagascar","Madagascar",450,"🇲🇬","UN member","Madagascar","madagascar"
"MDV","Maldives","Maldives",462,"🇲🇻","UN member","Maldives","maldives"
"MEX","Mexico","Mexico",484,"🇲🇽","UN member","Mexico","mexico"
"MHL","Marshall Islands","Marshall Islands",584,"🇲🇭","UN member","Marshall Islands","marshall islands"
"MKD","North Macedonia","North Macedonia",807,"🇲🇰","UN member","North Macedonia","north macedonia"
"MLI","Mali","Mali",466,"🇲🇱","UN member","Mali","mali"
"MLT","Malta","Malta",470,"🇲🇹","UN member","Malta","malta"
"MMR","Myanmar","Myanmar",104,"🇲🇲","UN member","Myanmar","myanmar"
"MNE","Montenegro","Montenegro",499,"🇲🇪","UN member","Montenegro","montenegro"
"MNG","Mongolia","Mongolia",496,"🇲🇳","UN member","Mongolia","mongolia"
"MNP","Northern Mariana Islands","Northern Mariana Islands",580,"🇲🇵","Other ISO 3166-1 assigned or reserved entity","Northern Mariana Islands","northern mariana islands"
"MOZ","Mozambique","Mozambique",508,"🇲🇿","UN member","Mozambique","mozambique"
"MRT","Mauritania","Mauritania",478,"🇲🇷","UN member","Mauritania","mauritania"
"MSR","Montserrat","Montserrat",500,"🇲🇸","Other ISO 3166-1 assigned or reserved entity","Montserrat","montserrat"
"MTQ","Martinique","Martinique",474,"🇲🇶","Other ISO 3166-1 assigned or reserved entity","Martinique","martinique"
"MUS","Mauritius","Mauritius",480,"🇲🇺","UN member","Mauritius","mauritius"
"MWI","Malawi","Malawi",454,"🇲🇼","UN member","Malawi","malawi"
"MYS","Malaysia","Malaysia",458,"🇲🇾","UN member","Malaysia","malaysia"
"MYT","Mayotte","Mayotte",175,"🇾🇹","Other ISO 3166-1 assigned or reserved entity","Mayotte","mayotte"
"NAM","Namibia","Namibia",516,"🇳🇦","UN member","Namibia","namibia"
"NCL","New Caledonia","New Caledonia",540,"🇳🇨","Other ISO 3166-1 assigned or reserved entity","New Caledonia","new caledonia"
"NER","Niger","Niger",562,"🇳🇪","UN member","Niger","niger"
"NFK","Norfolk Island","Norfolk Island",574,"🇳🇫","Other ISO 3166-1 assigned or reserved entity","Norfolk Island","norfolk island"
"NGA","Nigeria","Nigeria",566,"🇳🇬","UN member","Nigeria","nigeria"
"NIC","Nicaragua","Nicaragua",558,"🇳🇮","UN member","Nicaragua","nicaragua"
"NIU","Niue","Niue",570,"🇳🇺","Other ISO 3166-1 assigned or reserved entity","Niue","niue"
"NLD","Netherlands","Netherlands",528,"🇳🇱","UN member","Netherlands","netherlands"
"NOR","Norway","Norway",578,"🇳🇴","UN member","Norway","norway"
"NPL","Nepal","Nepal",524,"🇳🇵","UN member","Nepal","nepal"
"NRU","Nauru","Nauru",520,"🇳🇷","UN member","Nauru","nauru"
"NZL","New Zealand","New Zealand",554,"🇳🇿","UN member","New Zealand","new zealand"
"OMN","Oman","Oman",512,"🇴🇲","UN member","Oman","oman"
"PAK","Pakistan","Pakistan",586,"🇵🇰","UN member","Pakistan","pakistan"
"PAN","Panama","Panama",591,"🇵🇦","UN member","Panama","panama"
"PCN","Pitcairn Islands","Pitcairn Islands",612,"🇵🇳","Other ISO 3166-1 assigned or reserved entity","Pitcairn Islands","pitcairn islands"
"PER","Peru","Peru",604,"🇵🇪","UN member","Peru","peru"
"PHL","Philippines","Philippines",608,"🇵🇭","UN member","Philippines","philippines"
"PLW","Palau","Palau",585,"🇵🇼","UN member","Palau","palau"
"PNG","Papua New Guinea","Papua New Guinea",598,"🇵🇬","UN member","Papua New Guinea","papua new guinea"
"POL","Poland","Poland",616,"🇵🇱","UN member","Poland","poland"
"PRI","Puerto Rico","Puerto Rico",630,"🇵🇷","Other ISO 3166-1 assigned or reserved entity","Puerto Rico","puerto rico"
"PRK","Democratic People’s Republic of Korea","North Korea",408,"🇰🇵","UN member","North Korea","north korea"
"PRT","Portugal","Portugal",620,"🇵🇹","UN member","Portugal","portugal"
"PRY","Paraguay","Paraguay",600,"🇵🇾","UN member","Paraguay","paraguay"
"PSE","Palestinian Territories","Palestine",275,"🇵🇸","Other ISO 3166-1 assigned or reserved entity","Palestine","palestine"
"PYF","French Polynesia","French Polynesia",258,"🇵🇫","Other ISO 3166-1 assigned or reserved entity","French Polynesia","french polynesia"
"QAT","Qatar","Qatar",634,"🇶🇦","UN member","Qatar","qatar"
"REU","Réunion","Réunion",638,"🇷🇪","Other ISO 3166-1 assigned or reserved entity","Reunion","reunion"
"ROU","Romania","Romania",642,"🇷🇴","UN member","Romania","romania"
"RUS","Russian Federation","Russia",643,"🇷🇺","UN member","Russia","russia"
"RWA","Rwanda","Rwanda",646,"🇷🇼","UN member","Rwanda","rwanda"
"SAU","Saudi Arabia","Saudi Arabia",682,"🇸🇦","UN member","Saudi Arabia","saudi arabia"
"SDN","Sudan","Sudan",729,"🇸🇩","UN member","Sudan","sudan"
"SEN","Senegal","Senegal",686,"🇸🇳","UN member","Senegal","senegal"
"SGP","Singapore","Singapore",702,"🇸🇬","UN member","Singapore","singapore"
"SGS","South Georgia and South Sandwich Islands","S. Georgia & S. Sandwich",239,"🇬🇸","Other ISO 3166-1 assigned or reserved entity","S. Georgia & S. Sandwich","south georgia south sandwich"
"SHN","St. Helena, Ascension and Tristan da Cunha","St. Helena",654,"🇸🇭","Other ISO 3166-1 assigned or reserved entity","St. Helena","st helena"
"SJM","Svalbard and Jan Mayen","Svalbard & Jan Mayen",744,"🇸🇯","Other ISO 3166-1 assigned or reserved entity","Svalbard & Jan Mayen","svalbard jan mayen"
"SLB","Solomon Islands","Solomon Islands",90,"🇸🇧","UN member","Solomon Islands","solomon islands"
"SLE","Sierra Leone","Sierra Leone",694,"🇸🇱","UN member","Sierra Leone","sierra leone"
"SLV","El Salvador","El Salvador",222,"🇸🇻","UN member","El Salvador","el salvador"
